   1541   -2242    7340     3162    -794   -4089     -717    -297     558
   1575   -2318    7349     2597    -156   -3468    -1572    -697     699
   1614   -2452    7264     2981    -481   -3808    -2362    -160     659
   1606   -2685    7329     3046    -182   -3912    -3128      85     559
   1561   -2837    7299     3112     -19   -3560    -2835     214     577
   1567   -3020    7238     2845     292   -3717    -2771    -174     539
   1600   -3216    7208     2869     964   -3022    -3496    -513     723
   1627   -3429    7035     3082     919   -3148    -4005    -460     555
   1643   -3695    6910     2780     998   -3339    -2821     -73     515
   1628   -3845    6809     2607    1529   -1883    -1721    -750     448
   1641   -3930    6738     2144    1836   -2590    -2701   -1025     628
   1703   -4064    6573     2647    1545   -2934    -4180    -919     936
   1679   -4320    6225     2429    1713   -3165   -11170   -1476    2071
   1593   -4669    5347     2278    1532   -1914   -15927   -1793    3014
   1483   -4743    4711     2912    2249     689    -5301   -1703     743
   1409   -4711    4482     2783    2434    -184    -2679   -1346     306
   1325   -4652    4237     2460    3044    -164    -3784   -2134    1295
   1206   -4548    3990     3469    2662    -959    -3969   -1797    1236
   1132   -4446    4012     3767    2244    -160     -945   -1157      38
   1092   -4442    3933     3264    2915    -620     -628    -384     343
   1064   -4456    3912     2898    2776    -394     -997    -423     326
   1006   -4421    3837     2902    1344    -251    -1253    -556     -66
    989   -4385    3802     2441    3836     879    -2223   -1523     750
    927   -4333    3708     2377    1701     527    -2064    -844     843
    833   -4240    3710     3538    3204    -502    -1230    -569    1065
    752   -4137    3615     3419    2288       7     -735    -324     692
    733   -4119    3615     3105    2007     533     -899    -913     317
    677   -4082    3606     2789    3207      64    -1808   -1416     894
    565   -3961    3547     2973    1636     124    -1628   -1080     616
    512   -3882    3490     3311    2528     -66    -2122   -1248    1133
    382   -3722    3465     3446    2763     261    -2857   -2118    1643
    233   -3526    3480     3602    3219    -360    -3066   -2395    1737
    124   -3371    3476     3446     824   -1009    -2378   -1623    1360
      0   -3233    3543     3837    1252    -963    -2185   -1377    1506
   -152   -3032    3545     4216    1814    -299    -1787    -497    1177
   -157   -2903    3508     3752    2359     403    -1916    -276    1544
   -183   -2802    3448     3603    -263   -1079     -804     832     160
   -131   -2802    3455     3861     752     386      372     298   -1048
    -99   -2955    3461     3621     945    1768     2622   -1784   -2170
   -170   -3035    3602     3392    3602    -266    -1957   -1690     934
   -249   -2866    3594     3568    2568    1234    -1996   -2694    1576
   -332   -2767    3780     4642    1865    -752    -1262   -1335    1201
   -426   -2656    3778     3901    1575    -680     -374    -920    1282
   -473   -2578    3756     3993    1968    -771     -585    -446    1598
   -470   -2462    3830     3996    1503    -134    -1042    -360    1952
   -481   -2321    3905     4330     440    -205     -774    -667    1745
   -487   -2124    3937     3273    -399    -567    -1852    -895    1338
   -534   -2058    3954     3915     571   -1266    -1602    -436    1280
   -520   -1883    3966     3838     567    -144    -2031    -653    1389
   -509   -1798    3966     3788     638    -935    -1697    -993    1347
   -520   -1670    4042     3664     532   -1538     -930   -1225     929
   -525   -1582    4166     4001     649   -1494     -747    -908     971
   -544   -1509    4302     4513     261     -97    -1785   -1196    1223
   -532   -1419    4298     4442    -583   -1041    -1541   -1001     951
   -527   -1345    4458     4051     280   -1705    -1491    -958    1024
   -487   -1251    4555     3319    1001   -1313     -979    -926     637
   -487   -1216    4615     4243     176   -1241     -250    -956     678
   -477   -1147    4645     3818     243   -1589      110   -1183     691
   -453   -1108    4654     3323    -158   -2282      280    -952     429
   -456   -1066    4735     3644    -187   -2158      579    -880     456
   -431   -1034    4780     3792     -32   -1967      757   -1013     543
   -431   -1045    4837     3622    -496   -2245      422    -567     442
   -390   -1007    4790     3463    -227   -2287      408     155     374
   -402    -963    4777     3785    -430   -1595      886    -249     228
   -381    -927    4724     3310    -858   -2573     1583    -481    -104
   -354    -937    4606     3251    -128   -1985     1250    -663     121
   -351    -948    4650     3297    -298   -1703      794   -1032     758
   -373    -912    4750     3201    -872   -2231      515    -897     741
   -332    -869    4770     3379    -819   -2200      384    -841     731
   -276    -801    4814     3226    -890   -2351      318    -572     746
   -269    -774    4867     2897   -1067   -2438     -335    -447    1065
   -226    -708    4847     2954    -955   -1892    -1091    -755    1214
   -141    -646    4977     2940   -1513   -3872    -2124     -44     885
   -155    -611    5127     2055   -6275   -5375     1423    3000   -2535
   -218    -750    4859     4223    1233    3421      194    -320   -1024
   -248    -794    4885     2603    -694   -3190     -368    -209     178
   -223    -751    4845     2598   -1442   -3904      179     534    -174
   -192    -719    4900     3483    -113   -3284     -434     812     688
   -194    -690    4879     3505    -557   -1605     -732     405    1387
    -93    -630    4905     3120   -1791    -524     -506   -1171    1164
    -54    -547    5030     3076    -916   -1646     -256   -1838     876
     -3    -493    5086     2683   -1363   -3283      195   -1348     442
     57    -476    5178     2945    -462   -2494     -847   -1062    1301
    141    -405    5247     2473   -1950   -3303    -1371    -589    1042
    183    -410    5379     2454   -1095   -3278    -2072    -184    1094
    220    -416    5459     2947     518   -2960    -2636     -58    1645
    308    -398    5477     2080   -3701   -2487     1193     198    -189
    292    -358    5430     2024   -1251   -2536     -149    1082     601
    354    -310    5476     2201    -955   -2946     -698     631    1174
    380    -290    5532     2680   -1489   -1053     -191    -388    -422
    403    -328    5630     2622    2151   -4452    -4881     723    2588
    550    -336    5832     2171   -1398   -2072    -4230     464    3086
    725    -348    6137     2193    -511    -244    -3499    -992    1886
    790    -360    6124     1682    -317   -4649     -151     428     488
    805    -367    6119     2773    -383   -3215     -448     199     320
    863    -354    6238     2787    -868   -2702    -1639    -754     159
    905    -480    6330     2317     284   -2780    -4285    -885    1877
   1075    -660    6577     2707     -18   -3425    -6370    -832    3105
   1235    -938    6928     2321    -300   -4056    -4691    -438    2505
   1341   -1108    7076     2063     -23   -3768    -4005      35    2114
   1383   -1310    7127     2666    -297   -3266    -3688     -54    1555
   1444   -1621    7188     2905     157   -3198    -3806    -249    1187
   1458   -1803    7210     2304    1027   -3486    -3288    -387    1196
   1527   -1971    7337     2493    1101   -2663    -2086    -395     926
   1525   -2059    7291     2666    1291   -3005     -517    -657     480
   1616   -2139    7381     2517    1579   -3130    -1621    -546     847
   1656   -2279    7356     2397    1311   -3103    -3658    -410    1366
   1665   -2625    7295     2154    2009   -2674    -5025    -453    1839
   1679   -2840    7320     2504    1940   -2419    -1991    -178     755
   1674   -2920    7236     2599    2284   -2164    -1083    -215     536
   1677   -3023    7250     2612    1740   -2766     -518     -50     400
